,block,CRSDepTime_min,CRSElapsedTime,DayOfWeek,Distance,Month,Year,dest_lat,dest_long,origin_lat,origin_long,FDDS,block_group
2959,2959.0,963299.7674327285,107981.17716170951,47.30371751903049,4534877.435663701,133.8622200141025,2.9904345282018174,621.3562829192722,6347.887928362357,511.51651545998834,4314.877237115919,2586790.0712942067,591
2960,2960.0,856206.3232451933,108830.92668640896,49.60500135657681,4900631.808918435,120.47408429815061,2.5815768531186585,421.00659288384816,5834.227056994185,446.0641754790817,4400.254928844963,2795329.43047832,592
2961,2961.0,738316.6996864283,112006.48838618369,34.677518153076335,4626852.404030553,148.67400936933151,2.9904345282017113,371.17711665295707,5825.965395669389,381.8576977068221,4716.386418917862,2639192.535359966,592
2962,2962.0,846726.5046147872,71479.93517552035,39.964951981149625,4965171.8411037065,121.12550636428509,2.7480973269798583,913.2881672028183,7319.518113504014,372.3406216785899,3861.0192607498193,2832274.396518947,592
2963,2963.0,958746.0216778445,92200.38156429626,37.49045561464615,4553426.206343082,138.5874125428186,3.737636820102445,542.8463710985852,3791.7895800853785,492.1207062714622,3440.9983994359004,2597148.091097311,592
2964,2964.0,982642.482258844,111361.79478271757,39.363268280412825,5174355.320304798,119.35825732942448,2.7480973269797926,636.1442790214732,4878.981241747444,498.3536761771937,6856.579043893449,2951363.058139083,592
2965,2965.0,877081.9927460882,97207.69362394605,44.29899924194885,4191509.4308083886,199.4605417261123,3.3137419395745162,636.1442790214732,4878.981241747444,504.9293857597834,6574.251098521422,2390849.1731941747,593
2966,2966.0,999947.2931656756,118943.49034207685,42.1423085536829,4932810.947241423,144.20815169921622,2.7480973269799875,636.1442790214732,4878.981241747444,541.4502398831595,6863.796164549161,2813611.2749440325,593
2967,2967.0,952068.3801673737,88254.41149559757,34.82689441230629,4490081.247144026,158.72100461112925,2.4960265894072897,632.2114707362207,4870.682800649249,345.44899913705603,6385.066112092518,2561121.804977675,593
2968,2968.0,866582.8914050687,69139.04072937065,54.46433737502317,4004379.9967084327,115.71486914753561,2.9904345282018374,531.1075157499918,3882.053885112596,662.0468604672421,4444.294442062917,2284038.5372948404,593
2969,2969.0,896049.9762200934,106769.80194447676,51.736828671383556,5120946.170666094,132.08768841621793,2.5815768531184853,684.9088756799617,6406.2909667195445,622.8930633398303,4140.677651912981,2921029.4344232082,593
2970,2970.0,801717.7270023986,89681.29665544194,33.25993765178335,4251478.567823007,113.49420105740663,2.581576853118615,693.5546241206579,6529.400000309309,484.4212740463336,3717.3433989115138,2425184.6030411534,594
2971,2971.0,1283392.5639508558,102760.32370725664,45.10638097061782,4436675.722605623,125.30104514596162,2.9904345282017726,609.6573489941584,5504.444847271159,437.1642550780037,4189.1416940161525,2530713.8017938905,594
2972,2972.0,1192370.035977486,108673.41542455717,57.932980590189345,4773665.624217607,164.31493978493518,2.748097326979941,601.1285677454458,5035.947170231164,617.1640336597115,4946.2992990186385,2722859.91202281,594
2973,2973.0,815707.6675927805,102681.65369351006,37.398033860859385,4359692.104537142,114.41976245808189,2.581576853118583,623.8047346687392,6826.451765261243,631.3815520668012,3946.7979391259405,2486922.443873498,594
2974,2974.0,1028821.4276646045,30390.106574658763,38.831237014945614,4127720.2935507824,169.95142571352238,3.3137419395744128,489.79292852065424,1445.7081222932186,553.9756280427107,4008.4284143811096,2354170.506091969,594
2975,2975.0,866713.6524986079,58214.443323970314,40.78142515457372,2512354.777807246,114.03073170012226,2.9904345282017806,681.2915171516165,2502.7392973943392,498.73881530171514,7700.8468556840835,1433035.364609458,595
