block,nswprice,transfer,vicdemand,vicprice,FDDS
1679.0,0.024787197163397147,0.047235720204761945,0.19451769823834325,0.0015889802112484198,0.025554896566401777
1680.0,0.02821669540028961,0.05765065218088564,0.19245335711466718,0.0013084868516270954,0.02851844981030158
1681.0,0.024030914035187676,0.041898531008197855,0.16895192788044908,0.0008812643280705261,0.02435349461816336
1682.0,0.026374705623363304,0.016833106479603465,0.18241950839543156,0.0009737892495871456,0.026665052334849195
1683.0,0.025308831491487962,0.05614108725152391,0.17550680242122668,0.0010819445404368715,0.02562404974682592
1684.0,0.017221980597934193,0.24726636790163012,0.02233421639016213,0.00037452521403070034,0.015716963993649528
1685.0,0.017750430845012054,0.2622735588351159,0.04658146195519438,0.0002122762055818851,0.016610321296918164
1686.0,0.028181027745269382,0.0746700312800294,0.16464999947404133,0.001518113378688948,0.02801114221660978
1687.0,0.06149079990861998,0.07119516091016795,0.20797253711120642,0.003915240379144092,0.058414445708900226
1688.0,0.06050690079429945,0.055331458553736834,0.23442065033460702,0.003721440798213167,0.05799985223389641
1689.0,0.04092717452076786,0.0773934985161727,0.2099853048527574,0.002268377531393246,0.04014962968054022
1690.0,0.020731741262938027,0.1109294521411618,0.1298382406533782,0.0009203893222513591,0.02076375273094465
1691.0,0.02911080484500038,0.2601305856976888,0.04245397170819213,0.0008986403893614037,0.026624428128438803
1692.0,0.026208375200738813,0.1289914432792906,0.07124801539938092,0.0011456434357568384,0.024564422304791927
1693.0,0.027518108822963724,0.10345396461560201,0.13247856982577885,0.0013617643454367236,0.02683918754469479
1694.0,0.02260597296471021,0.0910957510562762,0.1284586691083823,0.0009050322768535884,0.022383820124267585
1695.0,0.029588517852195573,0.09830928677022911,0.15849702051000591,0.0016787587099975662,0.029165543638433728
1696.0,0.07904607833407727,0.17588921070747007,0.17201658093876945,0.005176571455583091,0.0734115375323022
1697.0,0.03232530916530176,0.22732489340282236,0.05260853527218729,0.0008028697720238092,0.029622809827793396
1698.0,0.02036751414221921,0.24224294648481906,0.07009235913412196,9.145072969613933e-05,0.019324963455439065
1699.0,0.024097313816744896,0.12738571494091022,0.11614075953118083,0.0007261835850129999,0.023471309630306674
1700.0,0.021479818720716286,0.08620230688599044,0.1381340437702447,0.0007889107839128795,0.021552069032113427
1701.0,0.021380083983195235,0.045110778680537846,0.16288248130164681,0.0009786516826678178,0.021916243810890586
1702.0,0.03364786889463291,0.077518935506583,0.12512387588252982,0.0018573759180796996,0.03215387893999953
1703.0,0.03150373182428896,0.11305438422896703,0.10148997493730098,0.0017119675545888705,0.029833009409205264
1704.0,0.03388962950007357,0.15729193269441524,0.024922739164192836,0.001662483913727013,0.03056398331337977
1705.0,0.03159308344420133,0.19941003602043836,0.088836880858057,0.0015349580024901954,0.02969497279612245
1706.0,0.04766706177391542,0.08073301419252679,0.11925197358748163,0.0030316333083521166,0.04453220072358395
